company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness
failed,SunEdison,data/failed/SunEdison/0001193125-08-228152.txt,failed/SunEdison/0001193125-08-228152.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-08-228152,10-Q,20080930,2008,,,,,151500000.0,,,457100000.0,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Marketable_Securities;HTML:Pi_Net_Income;MissingH,2008-09-30,2008,3,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-09-041185.txt,failed/SunEdison/0001193125-09-041185.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-09-041185,10-Q,20081231,2008,1028200000.0,,,1028000000.0,70300000.0,260500000.0,,,,,957700000.0,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:R_Total_Revenue;HTML:Operating_Income;HTML:Pi_Net_Income;MissingH,2008-12-31,2008,4,0,3
failed,SunEdison,data/failed/SunEdison/0001193125-09-103394.txt,failed/SunEdison/0001193125-09-103394.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-09-103394,10-Q,20090331,2009,,,,,1.0,12.0,1.0,147.0,148.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Marketable_Securities;MissingH;LabelFallback_Tight,2009-03-31,2009,1,0,2
failed,SunEdison,data/failed/SunEdison/0001193125-09-165368.txt,failed/SunEdison/0001193125-09-165368.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-09-165368,10-Q,20090630,2009,,,,,176100000.0,,,148400000.0,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Marketable_Securities;HTML:Pi_Net_Income;MissingH,2009-06-30,2009,2,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-09-225668.txt,failed/SunEdison/0001193125-09-225668.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-09-225668,10-Q,20090930,2009,,,,,182800000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2009-09-30,2009,3,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-10-044592.txt,failed/SunEdison/0001193125-10-044592.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-10-044592,10-Q,20091231,2009,1148100000.0,,,1107400000.0,249400000.0,,,,,,858000000.0,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:R_Total_Revenue;HTML:Pi_Net_Income;MissingH,2009-12-31,2009,4,0,3
failed,SunEdison,data/failed/SunEdison/0001193125-10-114597.txt,failed/SunEdison/0001193125-10-114597.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-10-114597,10-Q,20100331,2010,,,,,2000000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2010-03-31,2010,1,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-10-182491.txt,failed/SunEdison/0001193125-10-182491.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-10-182491,10-Q,20100630,2010,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2010-06-30,2010,2,0,2
failed,SunEdison,data/failed/SunEdison/0001193125-10-254142.txt,failed/SunEdison/0001193125-10-254142.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-10-254142,10-Q,20100930,2010,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2010-09-30,2010,3,0,2
failed,SunEdison,data/failed/SunEdison/0001193125-11-042346.txt,failed/SunEdison/0001193125-11-042346.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-11-042346,10-Q,20101231,2010,,,,,1.0,1.0,74.6,147.0,221.6,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight,2010-12-31,2010,4,0,2
failed,SunEdison,data/failed/SunEdison/dex991.htm,failed/SunEdison/dex991.htm,SunEdison,,,10-Q,20110331,2011,,,,,1.0,0.0,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight,2011-03-31,2011,1,0,2
failed,SunEdison,data/failed/SunEdison/d10q.htm,failed/SunEdison/d10q.htm,SunEdison,,,10-Q,20110630,2011,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2011-06-30,2011,2,0,2
failed,SunEdison,data/failed/SunEdison/memc-9302011x10xq.htm,failed/SunEdison/memc-9302011x10xq.htm,SunEdison,,,10-Q,20110930,2011,,,,,2.0,,2.0,2.0,4.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2011-09-30,2011,3,0,2
failed,SunEdison,data/failed/SunEdison/0000945436-12-000047.txt,failed/SunEdison/0000945436-12-000047.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0000945436-12-000047,10-Q,20120331,2012,,,,,2.0,8.4,2.0,2.0,4.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2012-03-31,2012,1,0,2
failed,SunEdison,data/failed/SunEdison/memc-6302012x10xq.htm,failed/SunEdison/memc-6302012x10xq.htm,SunEdison,,,10-Q,20120630,2012,,,,,2.0,2.0,2.0,2.0,4.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2012-06-30,2012,2,0,2
