issuer,ticker,fiscal_year,report_date,market_equity,equity_volatility,short_term_debt,long_term_debt,default_point,asset_value_A,asset_vol_sigmaA,DD,PD,classification
Cisco,CSCO,2019.0,2019-07-27,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2020.0,2020-07-25,307395166208.0,0.23735435576293445,11214000000.0,13620000000.0,18024000000.0,324540125355.20087,0.2256968392831909,12.91659845952609,1.8141506173883064e-38,healthy
Cisco,CSCO,2021.0,2021-07-31,307395166208.0,0.23735435576293445,10591000000.0,12833000000.0,17007500000.0,323573200645.1959,0.2263712907755008,13.120696318860142,1.2531075778235766e-39,healthy
Cisco,CSCO,2022.0,2022-07-30,307395166208.0,0.23735435576293445,11812000000.0,13969000000.0,18796500000.0,325274950085.6277,0.22518696394230733,12.770035653650613,1.2052201398433954e-37,healthy
Cisco,CSCO,2023.0,2023-07-29,307395166208.0,0.23735435576293445,12613000000.0,15031000000.0,20128500000.0,326541987679.0626,0.22431318946416756,12.532761099676298,2.47059749887744e-36,healthy
Cisco,CSCO,2024.0,2024-07-27,307395166208.0,0.23735435576293445,10320000000.0,12181000000.0,16410500000.0,323005316678.769,0.22676928454493572,13.247099409211618,2.3449069188293486e-40,healthy
Cisco,CSCO,2025.0,2025-07-26,307395166208.0,0.23735435576293445,10180000000.0,11760000000.0,16060000000.0,322671910765.48145,0.22700360017683285,13.323749150795162,8.421606313048098e-41,healthy
IBM,IBM,1993.0,1993-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,1994.0,1994-12-31,289057505280.0,0.30427102218797547,2937.0,,,,,,,unknown
IBM,IBM,1995.0,1995-09-30,289057505280.0,0.30427102218797547,2467.0,188.0,2561.0,289057507716.0986,0.32455575489638266,57.12137254999933,0.0,healthy
IBM,IBM,1996.0,1996-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,1997.0,1997-09-30,289057505280.0,0.30427102218797547,1359.0,,29268.5,289057533121.0584,0.32455572666316623,49.61538163609183,0.0,healthy
IBM,IBM,1998.0,1998-12-31,289057505280.0,0.30427102218797547,1036.0,1552.0,1812.0,289057507003.62775,0.3245557557266614,58.18734208938113,0.0,healthy
IBM,IBM,1999.0,1999-09-30,289057505280.0,0.30427102218797547,1762.0,2680.0,3102.0,289057508230.7137,0.32455575436382766,56.53087547026282,0.0,healthy
IBM,IBM,2000.0,2000-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2001.0,2001-09-30,289057505280.0,0.30427102218797547,1595.0,,31558.5,289057535299.3738,0.3245557238689692,49.38327675753642,0.0,healthy
IBM,IBM,2002.0,2002-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2003.0,2003-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2004.0,2004-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2005.0,2005-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2006.0,2006-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2007.0,2007-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2008.0,2008-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2009.0,2009-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2010.0,2010-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2011.0,2011-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2012.0,2012-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2013.0,2013-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2014.0,2014-09-30,289057505280.0,0.30427102218797547,1.0,,,,,,,unknown
IBM,IBM,2015.0,2015-09-30,289057505280.0,0.30427102218797547,1.0,,,,,,,unknown
IBM,IBM,2016.0,2016-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2017.0,2017-09-30,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2018.0,2018-09-30,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2019.0,2019-03-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2020.0,2020-09-30,289057505280.0,0.30427102218797547,1698000000.0,1827000000.0,2611500000.0,291541640922.0836,0.30286147349644255,15.582686984417514,4.772821091471394e-55,healthy
